"",L,num,%,+,*,/,-,:,=,< ,>,l,.,@,&,Tab,/n,espacio,",",(,),{,},_,I,D,!,C,
Inicio (0),1,7,error,13,13,13,5,2,4,3,3,6,8,12,11,0,0,0,13,13,13,13,13,13,error,error,error,error,
1,1,1,1,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
2,error,error,error,error,error,error,error,error,13,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,
3,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
4,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
5,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
6,13,13,13,13,13,13,13,13,13,13,13,6,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
7,error,7,error,error,error,error,error,error,error,error,error,error,8,error,error,error,error,error,error,error,error,error,error,error,13,error,error,error,
8,13,10,error,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,9,13,13,
9,error,error,error,10,error,error,10,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,
10,13,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,11,11,11,11,11,11,11,11,11,11,11,11,11,
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12,12,12,12,12,12,
Final (13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,


